ENA.Accession.Number,Isolate,Lane.accession,Sequecning Status,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS357724,11657_5#58,ERR434316,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357725,11657_5#59,ERR434317,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,S
ERS356788,11657_5#5,ERR434263,Previously sequenced,2007,S,S,R,,S,S,S,I,R,R,R,S
ERS357727,11657_5#60,ERR434318,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,R
ERS357739,11657_5#61,ERR434319,Previously sequenced,2008,R,R,,R,S,S,R,,R,,,R
ERS357762,11657_5#62,ERR434320,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357768,11657_5#63,ERR434321,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357775,11657_5#64,ERR434322,Previously sequenced,2006,S,S,,R,R,R,S,,R,,,S
ERS357778,11657_5#65,ERR434323,Previously sequenced,2006,S,S,,R,R,R,S,,I,,,R
ERS357779,11657_5#66,ERR434324,Previously sequenced,2007,S,S,,R,R,I,R,,S,,,R
ERS357780,11657_5#67,ERR434325,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357785,11657_5#68,ERR434326,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,S
ERS357796,11657_5#69,ERR434327,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,R
ERS356873,11657_5#6,ERR434264,Previously sequenced,2009,I,S,R,,R,,R,R,S,R,R,R
ERS357797,11657_5#70,ERR434328,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357848,11657_5#71,ERR434329,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357871,11657_5#72,ERR434330,Previously sequenced,2008,S,S,,R,R,I,S,,S,,,S
ERS357888,11657_5#73,ERR434331,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357903,11657_5#74,ERR434332,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357916,11657_5#75,ERR434333,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357941,11657_5#76,ERR434334,Previously sequenced,2009,S,S,,R,R,R,R,,S,,,S
ERS357960,11657_5#77,ERR434335,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357989,11657_5#78,ERR434336,Previously sequenced,2010,S,S,,R,R,S,R,,S,,,S
ERS357993,11657_5#79,ERR434337,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS356879,11657_5#7,ERR434265,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,S,R
ERS358005,11657_5#80,ERR434338,Previously sequenced,2010,S,S,,R,R,S,R,,R,,,R
ERS358011,11657_5#81,ERR434339,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358029,11657_5#82,ERR434340,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS358033,11657_5#83,ERR434341,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS358036,11657_5#84,ERR434342,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358055,11657_5#85,ERR434343,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358064,11657_5#86,ERR434344,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358068,11657_5#87,ERR434345,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358071,11657_5#88,ERR434346,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358073,11657_5#89,ERR434347,Previously sequenced,2011,R,R,,R,R,S,R,,S,,,R
ERS356896,11657_5#8,ERR434266,Previously sequenced,2009,S,S,R,,R,S,R,I,R,R,S,R
ERS358074,11657_5#90,ERR434348,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358081,11657_5#91,ERR434349,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358096,11657_5#92,ERR434350,Previously sequenced,2011,S,S,,R,R,S,S,,S,,,S
ERS358116,11657_5#93,ERR434351,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358166,11657_5#94,ERR434352,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS358172,11657_5#95,ERR434353,Previously sequenced,2009,S,S,,R,R,R,S,,S,,,S
ERS358242,11657_5#96,ERR434354,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS356906,11657_5#9,ERR434267,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356942,11657_6#10,ERR434364,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS356950,11657_6#11,ERR434365,Previously sequenced,2010,S,S,R,,R,S,R,R,R,R,R,S
ERS356956,11657_6#12,ERR434366,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,R,S
ERS356959,11657_6#13,ERR434367,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,S,S
ERS356965,11657_6#14,ERR434368,Previously sequenced,2010,S,S,R,,R,R,S,I,R,I,R,R
ERS356969,11657_6#15,ERR434369,Previously sequenced,2010,S,S,R,,S,S,S,I,S,S,S,S
ERS356972,11657_6#16,ERR434370,Previously sequenced,2010,S,S,R,,R,I,S,I,S,S,S,R
ERS356991,11657_6#17,ERR434371,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS356999,11657_6#18,ERR434372,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,S,S
ERS357004,11657_6#19,ERR434373,Previously sequenced,2011,S,S,R,,R,S,S,I,S,S,S,S
ERS356772,11657_6#1,ERR434355,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,R,R
ERS357018,11657_6#20,ERR434374,Previously sequenced,2011,R,R,R,,R,S,R,R,R,R,R,R
ERS357023,11657_6#21,ERR434375,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357128,11657_6#22,ERR434376,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357135,11657_6#23,ERR434377,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,R,S
ERS357136,11657_6#24,ERR434378,Previously sequenced,2012,S,S,R,,R,S,S,S,S,S,S,S
ERS357165,11657_6#26,ERR434380,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357169,11657_6#27,ERR434381,Previously sequenced,2001,S,,,R,R,I,S,,S,,,S
ERS357175,11657_6#28,ERR434382,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357177,11657_6#29,ERR434383,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS356806,11657_6#2,ERR434356,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS357185,11657_6#30,ERR434384,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357252,11657_6#31,ERR434385,Previously sequenced,2002,S,S,,S,S,S,S,,R,,,R
ERS357268,11657_6#32,ERR434386,Previously sequenced,2002,S,S,,S,R,R,S,,S,,,S
ERS357295,11657_6#33,ERR434387,Previously sequenced,2002,S,S,,R,S,S,S,,I,,,S
ERS357298,11657_6#34,ERR434388,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357301,11657_6#35,ERR434389,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357330,11657_6#36,ERR434390,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357361,11657_6#37,ERR434391,Previously sequenced,2003,S,S,,R,S,S,R,,S,,,R
ERS357370,11657_6#38,ERR434392,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357375,11657_6#39,ERR434393,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS356836,11657_6#3,ERR434357,Previously sequenced,2008,S,S,S,,S,S,S,I,I,I,S,S
ERS357385,11657_6#40,ERR434394,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357416,11657_6#41,ERR434395,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357447,11657_6#42,ERR434396,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357460,11657_6#43,ERR434397,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357525,11657_6#44,ERR434398,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357557,11657_6#45,ERR434399,Previously sequenced,2005,S,S,,R,R,R,S,,S,,,S
ERS357606,11657_6#46,ERR434400,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357609,11657_6#47,ERR434401,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357653,11657_6#48,ERR434402,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357665,11657_6#49,ERR434403,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS356845,11657_6#4,ERR434358,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,R,R
ERS357674,11657_6#50,ERR434404,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357679,11657_6#51,ERR434405,Previously sequenced,2007,R,R,,R,S,S,R,,S,,,R
ERS357683,11657_6#52,ERR434406,Previously sequenced,2007,S,S,,R,R,R,S,,S,,,S
ERS357700,11657_6#53,ERR434407,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357706,11657_6#54,ERR434408,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357707,11657_6#55,ERR434409,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357731,11657_6#56,ERR434410,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357748,11657_6#57,ERR434411,Previously sequenced,2008,S,S,,R,S,S,R,,I,,,S
ERS357757,11657_6#58,ERR434412,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357763,11657_6#59,ERR434413,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS356871,11657_6#5,ERR434359,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS357781,11657_6#60,ERR434414,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357791,11657_6#61,ERR434415,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357794,11657_6#62,ERR434416,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357805,11657_6#63,ERR434417,Previously sequenced,2006,I,R,,R,R,R,R,,S,,,R
ERS357807,11657_6#64,ERR434418,Previously sequenced,2006,I,R,,R,R,I,R,,S,,,R
ERS357822,11657_6#65,ERR434419,Previously sequenced,2006,S,S,,R,R,R,S,,R,,,R
ERS357839,11657_6#66,ERR434420,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357849,11657_6#67,ERR434421,Previously sequenced,2008,I,R,,R,R,I,R,,S,,,R
ERS357855,11657_6#68,ERR434422,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357890,11657_6#69,ERR434423,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS356874,11657_6#6,ERR434360,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,S,S
ERS357929,11657_6#70,ERR434424,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357951,11657_6#71,ERR434425,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357963,11657_6#72,ERR434426,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS357974,11657_6#73,ERR434427,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357980,11657_6#74,ERR434428,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS357987,11657_6#75,ERR434429,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS358000,11657_6#76,ERR434430,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358002,11657_6#77,ERR434431,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358025,11657_6#78,ERR434432,Previously sequenced,2010,S,S,,R,R,S,R,,S,,,S
ERS358026,11657_6#79,ERR434433,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS356931,11657_6#7,ERR434361,Previously sequenced,2010,S,S,S,,S,S,S,I,S,S,S,S
ERS358039,11657_6#80,ERR434434,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358057,11657_6#81,ERR434435,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358061,11657_6#82,ERR434436,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358065,11657_6#83,ERR434437,Previously sequenced,2010,S,S,,S,S,S,R,,S,,,S
ERS358069,11657_6#84,ERR434438,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358103,11657_6#85,ERR434439,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358109,11657_6#86,ERR434440,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358123,11657_6#87,ERR434441,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358132,11657_6#88,ERR434442,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS358142,11657_6#89,ERR434443,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,R
ERS356936,11657_6#8,ERR434362,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS358154,11657_6#90,ERR434444,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS358167,11657_6#91,ERR434445,Previously sequenced,2008,I,R,,R,R,I,R,,S,,,R
ERS358207,11657_6#92,ERR434446,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS358210,11657_6#93,ERR434447,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS358220,11657_6#94,ERR434448,Previously sequenced,2005,I,R,,R,R,S,R,,S,,,R
ERS358237,11657_6#95,ERR434449,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS358253,11657_6#96,ERR434450,Previously sequenced,2010,S,S,,R,S,S,R,,R,,,S
ERS356940,11657_6#9,ERR434363,Previously sequenced,2010,S,S,S,,S,S,S,I,S,S,S,S
ERS356968,11657_7#10,ERR434460,Previously sequenced,2010,S,S,R,,S,S,S,I,S,S,S,S
ERS356970,11657_7#11,ERR434461,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,S,S
ERS356971,11657_7#12,ERR434462,Previously sequenced,2010,I,R,R,,R,S,R,R,R,R,R,R
ERS356975,11657_7#13,ERR434463,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS356980,11657_7#14,ERR434464,Previously sequenced,2010,S,S,S,,S,S,S,I,S,S,S,S
ERS356981,11657_7#15,ERR434465,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS356987,11657_7#16,ERR434466,Previously sequenced,2011,S,S,R,,S,S,S,S,S,S,S,S
ERS357002,11657_7#17,ERR434467,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,S,S
ERS357015,11657_7#18,ERR434468,Previously sequenced,2011,S,S,S,,S,S,S,I,S,S,S,S
ERS357019,11657_7#19,ERR434469,Previously sequenced,2011,S,S,R,,S,S,S,S,S,S,S,S
ERS356924,11657_7#1,ERR434451,Previously sequenced,2009,S,S,S,,S,S,S,I,S,S,S,S
ERS357120,11657_7#20,ERR434470,Previously sequenced,2012,S,S,R,,S,S,R,I,S,S,S,S
ERS357126,11657_7#21,ERR434471,Previously sequenced,2012,S,S,R,,R,R,S,I,S,R,R,R
ERS357129,11657_7#22,ERR434472,Previously sequenced,2012,I,R,R,,S,S,R,R,S,S,R,R
ERS357133,11657_7#23,ERR434473,Previously sequenced,2012,I,R,R,,R,S,R,R,S,R,R,R
ERS357144,11657_7#24,ERR434474,Previously sequenced,2012,S,S,S,,S,S,S,I,S,S,S,S
ERS357161,11657_7#25,ERR434475,Previously sequenced,2001,S,,,R,R,S,S,,S,,,S
ERS357162,11657_7#26,ERR434476,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357176,11657_7#27,ERR434477,Previously sequenced,2001,S,,,R,R,I,R,,S,,,R
ERS357188,11657_7#28,ERR434478,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357199,11657_7#29,ERR434479,Previously sequenced,2001,S,,,R,R,S,R,,S,,,S
ERS356946,11657_7#2,ERR434452,Previously sequenced,2010,S,S,R,,R,R,S,I,S,S,S,S
ERS357201,11657_7#30,ERR434480,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,S,S
ERS357215,11657_7#31,ERR434481,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357223,11657_7#32,ERR434482,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357273,11657_7#33,ERR434483,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357279,11657_7#34,ERR434484,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357347,11657_7#35,ERR434485,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357355,11657_7#36,ERR434486,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357384,11657_7#37,ERR434487,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357389,11657_7#38,ERR434488,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357425,11657_7#39,ERR434489,Previously sequenced,2004,S,S,,R,S,I,S,,S,,,S
ERS356948,11657_7#3,ERR434453,Previously sequenced,2010,S,S,S,,S,S,S,I,S,S,S,S
ERS357432,11657_7#40,ERR434490,Previously sequenced,2004,S,S,,S,S,I,S,,S,,,S
ERS357478,11657_7#41,ERR434491,Previously sequenced,2001,S,,,R,R,S,S,,R,,,R
ERS357512,11657_7#42,ERR434492,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357513,11657_7#43,ERR434493,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357526,11657_7#44,ERR434494,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357573,11657_7#45,ERR434495,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,R
ERS357598,11657_7#46,ERR434496,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357623,11657_7#47,ERR434497,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,R
ERS357632,11657_7#48,ERR434498,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357633,11657_7#49,ERR434499,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS356953,11657_7#4,ERR434454,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,S,S
ERS357640,11657_7#50,ERR434500,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357656,11657_7#51,ERR434501,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357689,11657_7#52,ERR434502,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,R
ERS357702,11657_7#53,ERR434503,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,R
ERS357708,11657_7#54,ERR434504,Previously sequenced,2007,I,R,,R,R,S,R,,S,,,R
ERS357714,11657_7#55,ERR434505,Previously sequenced,2009,S,S,,R,S,S,S,,R,,,R
ERS357718,11657_7#56,ERR434506,Previously sequenced,2007,S,R,,R,S,S,R,,S,,,R
ERS357737,11657_7#57,ERR434507,Previously sequenced,2007,S,S,,R,S,S,S,,R,,,R
ERS357742,11657_7#58,ERR434508,Previously sequenced,2008,R,R,,R,R,I,R,,R,,,R
ERS357749,11657_7#59,ERR434509,Previously sequenced,2008,S,S,,R,R,S,S,,I,,,S
ERS356954,11657_7#5,ERR434455,Previously sequenced,2010,S,S,R,,R,S,S,I,S,S,R,S
ERS357755,11657_7#60,ERR434510,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357786,11657_7#61,ERR434511,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357788,11657_7#62,ERR434512,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357809,11657_7#63,ERR434513,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357811,11657_7#64,ERR434514,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,S
ERS357812,11657_7#65,ERR434515,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357845,11657_7#66,ERR434516,Previously sequenced,2006,R,R,,R,R,R,R,,S,,,R
ERS357846,11657_7#67,ERR434517,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357850,11657_7#68,ERR434518,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357857,11657_7#69,ERR434519,Previously sequenced,2008,S,S,,R,R,R,S,,S,,,S
ERS356957,11657_7#6,ERR434456,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357877,11657_7#70,ERR434520,Previously sequenced,2006,S,S,,R,R,R,S,,S,,,R
ERS357879,11657_7#71,ERR434521,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357885,11657_7#72,ERR434522,Previously sequenced,2009,S,S,,R,R,S,R,,S,,,S
ERS357897,11657_7#73,ERR434523,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,R
ERS357907,11657_7#74,ERR434524,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357908,11657_7#75,ERR434525,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357909,11657_7#76,ERR434526,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357911,11657_7#77,ERR434527,Previously sequenced,2009,S,S,,R,R,I,S,,R,,,S
ERS357917,11657_7#78,ERR434528,Previously sequenced,2008,S,S,,S,S,S,R,,S,,,R
ERS357925,11657_7#79,ERR434529,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS356961,11657_7#7,ERR434457,Previously sequenced,2010,S,S,R,,S,S,S,I,S,S,R,S
ERS357932,11657_7#80,ERR434530,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357947,11657_7#81,ERR434531,Previously sequenced,2009,S,S,,R,R,S,R,,S,,,S
ERS357969,11657_7#82,ERR434532,Previously sequenced,2009,S,S,,R,R,S,R,,S,,,S
ERS357975,11657_7#83,ERR434533,Previously sequenced,2009,S,S,,R,S,S,R,,S,,,S
ERS358003,11657_7#84,ERR434534,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
